iter	RMSE
0	0.3798362802
1	0.3699484522
2	0.3601691977
3	0.3508952139
4	0.342534836
5	0.3340953406
6	0.3255950217
7	0.3180764738
8	0.3103716392
9	0.3036630517
10	0.2972656763
11	0.2910068585
12	0.2850234715
13	0.2785801565
14	0.2728459165
15	0.2671561487
16	0.2618509024
17	0.2569849333
18	0.2521346056
19	0.24761246
20	0.2432480579
21	0.2387703697
22	0.2345945484
23	0.2308616857
24	0.2271954114
25	0.2235298893
26	0.2197554587
27	0.2162287227
28	0.2133471771
29	0.2101765736
30	0.2075144815
31	0.2049211082
32	0.2021635787
33	0.1994995643
34	0.1970496552
35	0.194805234
36	0.1925904833
37	0.1903909767
38	0.188275136
39	0.1862341119
40	0.1845014613
41	0.1826923003
42	0.1809794882
43	0.1790532181
44	0.1774374856
45	0.1757800426
46	0.1743048626
47	0.1731273607
48	0.1718284374
49	0.1705692164
50	0.1692409485
51	0.1680279592
52	0.1670204927
53	0.1660004151
54	0.164958101
55	0.1639232062
56	0.1628758339
57	0.1622105783
58	0.1613267855
59	0.1605939066
60	0.1596173154
61	0.1587520197
62	0.1579785086
63	0.157309425
64	0.1565961626
65	0.1559253143
66	0.1552996949
67	0.1545799987
68	0.1539346597
69	0.1531944917
70	0.1525714518
71	0.1520138
72	0.151485803
73	0.150862078
74	0.1504532991
75	0.149885481
76	0.1493253289
77	0.1488679153
78	0.1484406512
79	0.1479399671
80	0.1478403268
81	0.1473894066
82	0.1469185904
83	0.146549028
84	0.1460681923
85	0.1456997802
86	0.1453124554
87	0.144827237
88	0.1444755306
89	0.1441594714
90	0.1437775898
91	0.1434250934
92	0.1430559965
93	0.142725131
94	0.1423464135
95	0.1421100245
96	0.1418770354
97	0.1416412117
98	0.1413972898
99	0.1410966892
100	0.1408615778
101	0.1405976923
102	0.1403277345
103	0.1400941097
104	0.1398524509
105	0.1396069692
106	0.1393516849
107	0.1390904466
108	0.1387480666
109	0.1384857016
110	0.1381831811
111	0.1379999248
112	0.1378575929
113	0.1376649959
114	0.1373898613
115	0.1372152013
116	0.137022854
117	0.1367220938
118	0.1364857321
119	0.1362500022
120	0.1361000208
121	0.1359418881
122	0.1357566582
123	0.135742576
124	0.1355546732
125	0.1353284713
126	0.1352060194
127	0.1350300008
128	0.134823912
129	0.1346726909
130	0.134505843
131	0.1343434903
132	0.1342449989
133	0.1341043444
134	0.1339395755
135	0.133881314
136	0.1337732982
137	0.1335997024
138	0.1334347773
139	0.1333085658
140	0.1331962288
141	0.1329879614
142	0.1328347727
143	0.1325456373
144	0.1324381639
145	0.1324305461
146	0.1323366273
147	0.132206217
148	0.1320993301
149	0.1318664393
150	0.1317291142
151	0.1316155059
152	0.1314907745
153	0.1313716879
154	0.1313348771
155	0.1311947732
156	0.1310356453
157	0.1309773269
158	0.1308405193
159	0.1307359329
160	0.1305887012
161	0.1304790752
162	0.1304214174
163	0.1302498114
164	0.1301296356
165	0.1300260479
166	0.1298979864
167	0.1297120248
168	0.129566349
169	0.1293850829
170	0.129221938
171	0.1290949379
172	0.1290876745
173	0.128961267
174	0.1288492506
175	0.1286677775
176	0.1284848233
177	0.1283552747
178	0.1282111805
179	0.1281050547
180	0.128051046
181	0.1280013205
182	0.1278930275
183	0.1277721793
184	0.1276898742
185	0.1274767757
186	0.1272757671
187	0.1272093523
188	0.1271144269
189	0.1270331629
190	0.1269337055
191	0.1268184774
192	0.1267051828
193	0.1265881953
194	0.1265754091
195	0.126387171
196	0.1262626467
197	0.1261814743
198	0.1260894112
199	0.1259734194
200	0.1258506223
201	0.1257539257
202	0.1256253023
203	0.1254853343
204	0.1253861415
205	0.1252824846
206	0.1252307122
207	0.1250917056
208	0.1249683219
209	0.1248595492
210	0.1247466832
211	0.1246312846
212	0.1245613896
213	0.1244883859
214	0.1243604151
215	0.1242859425
216	0.1241559515
217	0.1240997249
218	0.1239953568
219	0.1238196995
220	0.1236558796
221	0.1235362866
222	0.1233830973
223	0.1232723757
224	0.1231885557
225	0.1230968416
226	0.1229678833
227	0.1228825437
228	0.1227013186
229	0.1226128511
230	0.1224883272
231	0.122403439
232	0.122236267
233	0.1220288654
234	0.1218910644
235	0.1216854276
236	0.1215543887
237	0.1213892994
238	0.1213184525
239	0.1211683561
240	0.1210188495
241	0.120871745
242	0.1207636551
243	0.1206722745
244	0.1205601047
245	0.1204682983
246	0.1204086038
247	0.1203010564
248	0.1201927369
249	0.120084159
250	0.1200148705
251	0.1198922772
252	0.1197541353
253	0.1195953626
254	0.119523216
255	0.1194550306
256	0.1193801154
257	0.1192599972
258	0.1191557652
259	0.1191260046
260	0.119044455
261	0.1189558507
262	0.1189143796
