iter	Passed	Remaining
0	21	7538
1	45	7868
2	63	7397
3	84	7344
4	105	7308
5	124	7155
6	146	7174
7	167	7162
8	189	7172
9	213	7242
10	235	7271
11	258	7288
12	280	7271
13	302	7248
14	323	7233
15	345	7217
16	366	7187
17	388	7159
18	410	7156
19	432	7132
20	453	7100
21	474	7079
22	495	7047
23	516	7019
24	538	6999
25	559	6977
26	581	6960
27	602	6931
28	624	6909
29	645	6888
30	666	6858
31	687	6833
32	709	6819
33	730	6790
34	752	6771
35	773	6744
36	793	6715
37	815	6696
38	836	6671
39	857	6649
40	879	6626
41	900	6605
42	922	6586
43	943	6563
44	965	6542
45	987	6523
46	1008	6499
47	1029	6476
48	1050	6450
49	1071	6430
50	1092	6406
51	1113	6380
52	1135	6361
53	1156	6338
54	1177	6315
55	1198	6292
56	1220	6271
57	1241	6248
58	1263	6231
59	1284	6208
60	1305	6185
61	1326	6163
62	1347	6139
63	1369	6118
64	1390	6097
65	1413	6084
66	1435	6062
67	1456	6039
68	1477	6017
69	1499	5996
70	1520	5973
71	1541	5951
72	1562	5930
73	1584	5909
74	1606	5888
75	1627	5866
76	1647	5842
77	1668	5819
78	1686	5784
79	1708	5764
80	1715	5697
81	1737	5677
82	1759	5661
83	1781	5640
84	1802	5620
85	1823	5598
86	1845	5579
87	1867	5558
88	1888	5537
89	1910	5518
90	1931	5496
91	1953	5477
92	1975	5458
93	1996	5437
94	2017	5416
95	2039	5395
96	2060	5374
97	2081	5352
98	2102	5331
99	2125	5312
100	2146	5292
101	2167	5270
102	2188	5248
103	2210	5229
104	2232	5208
105	2253	5187
106	2275	5166
107	2296	5145
108	2318	5125
109	2339	5105
110	2361	5084
111	2383	5065
112	2408	5050
113	2429	5029
114	2450	5007
115	2473	4989
116	2495	4969
117	2517	4948
118	2538	4928
119	2559	4906
120	2581	4884
121	2602	4864
122	2626	4846
123	2633	4800
124	2654	4778
125	2676	4757
126	2697	4736
127	2718	4715
128	2740	4694
129	2762	4675
130	2783	4653
131	2804	4632
132	2825	4610
133	2847	4589
134	2869	4569
135	2890	4548
136	2910	4525
137	2931	4503
138	2953	4482
139	2974	4461
140	2995	4440
141	3017	4419
142	3038	4398
143	3060	4377
144	3081	4356
145	3092	4321
146	3113	4300
147	3135	4279
148	3156	4258
149	3177	4237
150	3198	4215
151	3219	4194
152	3240	4172
153	3261	4150
154	3275	4120
155	3296	4099
156	3317	4078
157	3335	4052
158	3356	4031
159	3377	4011
160	3399	3990
161	3421	3970
162	3442	3949
163	3463	3928
164	3485	3907
165	3505	3886
166	3526	3864
167	3547	3843
168	3568	3822
169	3590	3801
170	3611	3780
171	3632	3759
172	3643	3727
173	3663	3705
174	3684	3684
175	3706	3664
176	3727	3643
177	3748	3622
178	3770	3601
179	3790	3580
180	3811	3559
181	3832	3537
182	3854	3517
183	3875	3496
184	3897	3475
185	3918	3454
186	3939	3434
187	3961	3413
188	3982	3392
189	4004	3372
190	4025	3351
191	4046	3330
192	4068	3309
193	4089	3288
194	4106	3264
195	4127	3243
196	4150	3223
197	4171	3202
198	4193	3181
199	4214	3160
200	4235	3139
201	4256	3118
202	4277	3097
203	4298	3076
204	4319	3055
205	4340	3034
206	4361	3013
207	4383	2992
208	4404	2971
209	4427	2951
210	4448	2930
211	4470	2909
212	4491	2888
213	4512	2868
214	4534	2847
215	4556	2826
216	4576	2805
217	4597	2783
218	4619	2763
219	4639	2741
220	4660	2720
221	4681	2699
222	4702	2678
223	4723	2657
224	4745	2636
225	4767	2615
226	4788	2594
227	4809	2573
228	4830	2552
229	4850	2530
230	4872	2510
231	4893	2488
232	4913	2467
233	4935	2446
234	4955	2425
235	4977	2404
236	4998	2383
237	5019	2362
238	5040	2340
239	5061	2319
240	5082	2298
241	5103	2277
242	5124	2256
243	5145	2235
244	5166	2214
245	5187	2193
246	5208	2171
247	5229	2150
248	5250	2129
249	5272	2109
250	5293	2087
251	5314	2066
252	5336	2045
253	5357	2024
254	5377	2003
255	5398	1982
256	5420	1961
257	5441	1940
258	5463	1919
259	5483	1898
260	5505	1877
261	5526	1856
262	5547	1835
263	5568	1814
264	5588	1792
265	5609	1771
266	5630	1750
267	5651	1729
268	5672	1708
269	5694	1687
270	5714	1665
271	5735	1644
272	5757	1623
273	5779	1603
274	5800	1581
275	5821	1560
276	5841	1539
277	5863	1518
278	5885	1497
279	5905	1476
280	5928	1455
281	5948	1434
282	5968	1413
283	5989	1391
284	6010	1370
285	6032	1349
286	6052	1328
287	6073	1307
288	6093	1286
289	6115	1265
290	6136	1244
291	6156	1222
292	6177	1201
293	6198	1180
294	6219	1159
295	6239	1138
296	6261	1117
297	6283	1096
298	6303	1075
299	6325	1054
300	6346	1033
301	6366	1011
302	6388	990
303	6408	969
304	6430	948
305	6451	927
306	6472	906
307	6493	885
308	6514	864
309	6535	843
310	6557	822
311	6578	801
312	6599	780
313	6620	759
314	6641	737
315	6662	716
316	6682	695
317	6704	674
318	6728	653
319	6758	633
320	6782	612
321	6804	591
322	6825	570
323	6846	549
324	6868	528
325	6890	507
326	6912	486
327	6933	465
328	6957	444
329	6978	422
330	6999	401
331	7021	380
332	7041	359
333	7070	338
334	7096	317
335	7118	296
336	7139	275
337	7160	254
338	7181	233
339	7202	211
340	7223	190
341	7244	169
342	7266	148
343	7288	127
344	7309	105
345	7330	84
346	7350	63
347	7371	42
348	7404	21
349	7429	0
